Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.023000,0.000000,0
Solver,0.082600,621.677990,5.13506e+07
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.004400,2490.512727,1.09583e+07
PFSB I/O,0.002100,0.000000,0
PFB I/O,0.002000,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.039100,0.000000,0
MGSemi,0.020400,1275.906912,2.60285e+07
PCG,0.022900,1359.970742,3.11433e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.001100,1642.292727,1.80652e+06
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.008100,2271.697531,1.84008e+07
Geometries,0.032400,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.109700,-nan,0
