Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.019500,0.000000,0
Solver,1.217700,8.212212,1e+07
Richards Exclude 1st Time Step,0.356200,25.266729,9.00001e+06
Solver Cleanup,0.007300,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.158600,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.633000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.279800,0.000000,0
SubsrfSim,0.004100,0.000000,0
Porosity,0.000800,0.000000,0
PhaseRelPerm,0.031100,0.000322,10
MGSemi,0.000000,0.000000,0
NL_F_Eval,0.551300,0.000018,10
KINSol,0.569200,17.568535,1e+07
Total Runtime,1.245200,-nan,0
