Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.017600,0.000000,0
Solver,0.097600,3.691465,360287
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.000100,1157.280000,115728
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.000500,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.089900,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.038500,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.000700,0.008571,6
MGSemi,0.000300,870.270000,261081
NL_F_Eval,0.016200,0.000123,2
KINSol,0.049100,7.337821,360287
Total Runtime,0.116300,-nan,0
