Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.025100,0.000000,0
Solver,0.117800,48.157564,5.67296e+06
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000300,0.000000,0
Matvec,0.000400,3294.120000,1.31765e+06
PFSB I/O,0.000300,0.000000,0
PFB I/O,0.000500,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.106500,0.000000,0
P4EST_Setup,0.000000,0.000000,0
PF_P4EST_Setup,0.000000,0.000000,0
PF_P4EST_Solve,0.000000,0.000000,0
PF_P4EST_Cleanup,0.000100,0.000000,0
MGSemi,0.002500,1219.353200,3.04838e+06
PCG,0.003000,1242.206667,3.72662e+06
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,106266
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000900,2044.527778,1.84008e+06
Geometries,0.091600,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.144500,-nan,0
