Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.019700,0.000000,0
Solver,7.442600,124.396418,9.25833e+08
Richards Exclude 1st Time Step,5.669000,139.290573,7.89638e+08
Solver Cleanup,0.009600,0.000000,0
Matvec,0.078300,2628.336347,2.05799e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.020300,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000200,0.000000,0
Clustering,0.517200,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.556400,0.000000,0
SubsrfSim,0.000900,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,3.947100,0.000073,289
MGSemi,0.367600,1890.728806,6.95032e+08
NL_F_Eval,4.219200,0.000050,209
KINSol,6.825100,135.651167,9.25833e+08
Total Runtime,7.476800,-nan,0
