Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.022200,0.000000,0
Solver,3.854600,485.404137,1.87104e+09
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.017700,0.000000,0
Matvec,0.560500,1179.417520,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.115800,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.384600,0.000000,0
MGSemi,1.740400,879.130539,1.53004e+09
PCG,2.031400,921.058771,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.781800,0.000000,0
SubsrfSim,0.014600,0.000000,0
Porosity,0.003500,0.000000,0
Total Runtime,3.910000,-nan,0
