Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.017100,0.000000,0
Solver,3.858400,484.926080,1.87104e+09
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.017300,0.000000,0
Matvec,0.542400,1218.774926,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.180400,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.378200,0.000000,0
MGSemi,1.688700,906.045354,1.53004e+09
PCG,1.967300,951.069378,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.782500,0.000000,0
SubsrfSim,0.014600,0.000000,0
Porosity,0.003700,0.000000,0
Total Runtime,3.907400,-nan,0
