Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.019600,0.000000,0
Solver,4.599500,406.791779,1.87104e+09
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.017600,0.000000,0
Matvec,0.560700,1178.996825,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.117600,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.037100,0.000000,0
MGSemi,1.742900,877.869522,1.53004e+09
PCG,2.034100,919.836187,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.765400,0.000000,0
SubsrfSim,0.015500,0.000000,0
Porosity,0.003600,0.000000,0
Total Runtime,4.651300,-nan,0
