Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.045100,0.000000,0
Solver,0.218900,235.844961,5.16265e+07
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.002500,0.000000,0
Matvec,0.007000,2563.225143,1.79426e+07
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.002800,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.033500,0.000000,0
Clustering,0.132000,0.000000,0
MGSemi,0.020600,2078.362961,4.28143e+07
PCG,0.024700,2090.140162,5.16265e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.186600,0.000000,0
PGS RF,0.001400,0.000000,0
SubsrfSim,0.002300,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.269200,-nan,0
