Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.040200,0.000000,0
Solver,2.010600,205.289796,4.12756e+08
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.001900,0.000000,0
Matvec,0.006400,2803.527500,1.79426e+07
PFSB I/O,0.010600,0.000000,0
PFB I/O,0.002200,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.028700,0.000000,0
Clustering,0.202100,0.000000,0
MGSemi,0.019500,2195.603949,4.28143e+07
PCG,0.023200,2225.278534,5.16265e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000500,1308.204000,654102
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.112300,3209.929653,3.60475e+08
Geometries,0.183300,0.000000,0
SubsrfSim,1.669500,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,2.055400,-nan,0
