Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.038400,0.000000,0
Solver,12.632600,387.218200,4.89157e+09
Richards Exclude 1st Time Step,5.371900,455.292599,2.44579e+09
Solver Cleanup,0.020000,0.000000,0
Matvec,0.661100,1660.142187,1.09752e+09
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.145700,0.000000,0
CLM,0.000700,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.593000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.452800,0.000000,0
SubsrfSim,0.009600,0.000000,0
Porosity,0.001900,0.000000,0
PhaseRelPerm,2.414300,0.000025,60
MGSemi,3.319400,1116.940582,3.70757e+09
NL_F_Eval,5.167000,0.000009,44
KINSol,11.467900,426.544758,4.89157e+09
Total Runtime,12.694200,-nan,0
