Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.009200,0.000000,0
Solver,0.088000,564.569841,4.96821e+07
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000300,0.000000,0
Matvec,0.002200,1860.240000,4.09253e+06
PFSB I/O,0.004400,0.000000,0
PFB I/O,0.001300,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.047300,0.000000,0
MGSemi,0.008200,1229.647927,1.00831e+07
PCG,0.009300,1259.324731,1.17117e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000700,1669.894286,1.16893e+06
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.016500,2230.393939,3.68015e+07
Geometries,0.029900,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.098800,-nan,0
