# Table from Maxwell and Condon (2016):
# Connections between groundwater flow and transpiration partitioning
# DOI: 10.1126/science.aaf7891
key                  Perm      Porosity  SRes      Alpha     N
sand                 2.69E-01  0.38      0.14      3.55      4.16
loamy_sand           4.36E-02  0.39      1.26      3.47      2.74
sandy_loam           1.58E-02  0.39      0.1       2.69      2.45
silt_loam            7.58E-03  0.44      0.15      0.5       2.66
silt                 1.82E-02  0.49      0.1       0.66      2.66
loam                 5.01E-03  0.4       0.15      1.12      2.48
sandy_clay_loam      5.49E-03  0.38      0.16      2.09      2.32
silty_clay_loam      4.68E-03  0.48      0.19      0.83      2.51
clay_loam            3.39E-03  0.44      0.18      1.58      2.41
sandy_clay           4.78E-03  0.39      0.3       3.31      2.2
silty_clay           3.98E-03  0.48      0.23      1.62      2.32
clay                 6.16E-03  0.46      0.21      1.51      2.26
organic              5.01E-03  0.4       0.15      1.12      2.48
bedrock_1            5.00E-03  0.33      0.001     1         3
bedrock_2            1.00E-02  0.33      0.001     1         3
fg_sil_sedimentary   2.00E-02  0.3       0.001     1         3
sil_sedimentary      3.00E-02  0.3       0.001     1         3
crystalline          4.00E-02  0.1       0.001     1         3
fg_unconsolidated    5.00E-02  0.3       0.001     1         3
unconsolidated       6.00E-02  0.3       0.001     1         3
cg_sil_sedimentary   8.00E-02  0.3       0.001     1         3
carbonate            1.00E-01  0.1       0.001     1         3
