# Table of subsurface properties from Little Washita test run
# from parflow/test/python/washita/py_scripts/LW_Test.py
key     Perm         Porosity  RelPermAlpha  RelPermN  SatAlpha  SatN    SatSRes   SatSSat
domain  0.2          0.4       3.5           2         3.5       2       0.2       1
s1      0.269022595  0.375     3.548         4.162     3.548     4.162   0.000001  1
s2      0.043630356  0.39      3.467         2.738     3.467     2.738   0.000001  1
s3      0.015841225  0.387     2.692         2.445     2.692     2.445   0.000001  1
s4      0.007582087  0.439     0.501         2.659     0.501     2.659   0.000001  1
s5      0.01818816   0.489     0.661         2.659     0.661     2.659   0.000001  1
s6      0.005009435  0.399     1.122         2.479     1.122     2.479   0.000001  1
s7      0.005492736  0.384     2.089         2.318     2.089     2.318   0.000001  1
s8      0.004675077  0.482     0.832         2.514     0.832     2.514   0.000001  1
s9      0.003386794  0.442     1.585         2.413     1.585     2.413   0.000001  1
g2      0.025        -         -             -         -         -       -         -
g3      0.059        -         -             -         -         -       -         -
g6      0.2          -         -             -         -         -       -         -
g8      0.68         -         -             -         -         -       -         -
